16,32,1712
32,39,1003
39,31,1759
31,25,1506
25,29,914
29,40,853
40,15,1149
15,22,734
22,13,835
13,36,1759
36,23,1006
23,30,1021
30,33,1097
33,10,1804
10,7,1058
7,37,1677
37,34,1269
34,9,1244
9,20,1130
20,21,1254
21,4,1688
4,18,1547
18,35,1143
35,11,1717
11,28,954
28,42,749
42,26,1584
26,24,2392
24,12,1016
12,41,2386
41,8,1214
8,6,1590
6,5,1205
5,17,961
17,2,1495
64,50,2839
50,45,1206
45,62,1829
62,59,4866
59,58,1036
58,63,1545
63,57,3623
57,53,1423
53,54,2110
54,55,4785
55,49,2272
49,61,6720
61,32,2152
32,52,1110
52,56,1135
56,51,1769
98,96,1345
96,71,4073
71,78,1236
78,70,2044
70,88,1579
88,42,845
42,74,1489
74,85,867
85,68,919
68,94,1462
94,81,913
81,67,1133
67,95,1950
95,82,1119
82,87,1025
87,76,1486
76,33,1618
33,66,2423
66,86,1128
86,83,897
83,72,1780
72,80,1602
80,69,1085
69,97,1221
97,73,2173
73,79,1600
79,92,1847
92,77,1168
77,91,903
91,75,1283
75,84,1100
84,89,1364
119,129,2653
129,120,2310
120,126,2352
126,132,1961
132,133,1315
133,130,2108
130,123,2196
123,124,1517
124,131,2690
131,127,1980
127,125,2983
125,128,1610
128,122,1721
122,121,2635
381,389,1213
389,379,3508
379,380,2433
380,378,1683
378,383,1958
383,387,5357
387,386,1964
386,382,2025
382,354,3799
354,388,2367
388,63,5440
63,384,1000
384,58,546
399,35,1137
35,402,1793
402,395,1668
395,362,1138
362,397,1405
397,398,6466
398,396,4041
396,403,2150
403,400,1474
400,405,2003
405,404,1188
404,406,1738
406,407,1332
407,409,1330
409,410,2200
235,51,1622
51,31,3022
31,412,18322
412,411,7243
37,435,2631
435,434,1275
434,428,2366
428,437,1982
437,438,993
438,433,1728
433,430,1090
430,429,1355
429,432,2337
432,427,2301
427,426,2055
426,135,1281
135,436,1334
423,417,2076
417,419,1777
419,418,984
418,416,2087
416,420,1929
420,421,1649
421,424,1210
424,410,1541
375,377,1297
377,370,1266
370,374,1044
374,373,1065
373,376,834
376,47,2736
47,372,1000
372,281,419
4,394,13028
394,393,25303
146,145,2740
145,4,2650
4,144,5640
144,142,6440
142,27,3370
33,140,3131
140,138,996
138,134,6012
134,136,2513
136,135,1445
135,137,2677
47,46,689
46,48,850
111,108,1144
108,101,1337
101,100,1999
100,99,1368
99,103,938
103,104,1087
104,61,2071
61,91,1758
91,116,1652
116,102,2295
102,109,2008
109,114,3309
114,105,3386
105,107,1615
107,106,3354
106,110,4576
110,112,2712
112,113,1331
113,118,2441
